Combination,batch_size,dropout,lr,output_dim,wd,Mean_Test_Loss,Std_Test_Loss,Mean_Test_AUC,Std_Test_AUC,Mean_Test_PR_AUC,Std_Test_PR_AUC,Mean_Test_Accuracy,Std_Test_Accuracy
1,8,0.2,0.001,8,1e-06,0.015835434846424808,0.003469656814877505,0.7331404320987654,0.1418994435909825,0.7604309659793729,0.12419618217789467,0.5073529411764706,0.02610035198426302
2,8,0.2,0.001,8,1e-05,0.01614118719395871,0.004144304742296974,0.712962962962963,0.15067786963268073,0.7416390039245431,0.13976924017131478,0.5073529411764706,0.02610035198426302
3,8,0.2,0.001,8,0.0001,0.016371731413528323,0.0031760392829778693,0.7277391975308642,0.1209755666340596,0.7351460277195571,0.12447820352969383,0.5073529411764706,0.02610035198426302
4,8,0.2,0.001,16,1e-06,0.016118564051187906,0.0054130769061496555,0.7548996913580247,0.11137370242686875,0.7645146088252706,0.09796759111644443,0.5073529411764706,0.02610035198426302
5,8,0.2,0.001,16,1e-05,0.01570153672170515,0.005268291758533521,0.7687114197530864,0.1644144875356496,0.7836201714725,0.1537654649027518,0.5073529411764706,0.02610035198426302
6,8,0.2,0.001,16,0.0001,0.015003622226261846,0.0038798672437732216,0.7604938271604939,0.12592119786572972,0.7696334648693718,0.12334656011229088,0.5073529411764706,0.02610035198426302
7,8,0.2,0.0001,8,1e-06,0.015470645452539126,0.0028125780702675136,0.7150462962962963,0.16987318633073428,0.7683030177883119,0.13752938961620276,0.5073529411764706,0.02610035198426302
8,8,0.2,0.0001,8,1e-05,0.015626573702320457,0.003339006524714541,0.7099537037037037,0.18945468886351985,0.7490696308956114,0.15950023876810002,0.5073529411764706,0.02610035198426302
9,8,0.2,0.0001,8,0.0001,0.015504904479409257,0.0035225748011395853,0.6935185185185185,0.16929117851950734,0.7293975319342966,0.16303327995538028,0.5073529411764706,0.02610035198426302
10,8,0.2,0.0001,16,1e-06,0.01556867686061499,0.00308225197838991,0.7132716049382716,0.16152668011497387,0.7513976632481535,0.13964780454311898,0.5073529411764706,0.02610035198426302
11,8,0.2,0.0001,16,1e-05,0.014932945324108004,0.0037841369503672498,0.7281635802469135,0.16426907365908502,0.7683971617978971,0.13371796969172206,0.5073529411764706,0.02610035198426302
12,8,0.2,0.0001,16,0.0001,0.016394902106064063,0.0034827932428751983,0.664891975308642,0.21611841655024247,0.7230855913331404,0.17655989578423031,0.5073529411764706,0.02610035198426302
13,16,0.2,0.001,8,1e-06,0.017122818232746796,0.00584735878401326,0.7077932098765432,0.15261110983150092,0.73422659822476,0.12290354587488339,0.5073529411764706,0.02610035198426302
14,16,0.2,0.001,8,1e-05,0.014519463578471914,0.00443928993473466,0.7205246913580247,0.13816848488866926,0.7219249636529048,0.1346300675492922,0.5073529411764706,0.02610035198426302
15,16,0.2,0.001,8,0.0001,0.015089286159491167,0.005106545232255691,0.760841049382716,0.1424518294294597,0.7689017914048552,0.13729471079891073,0.5073529411764706,0.02610035198426302
16,16,0.2,0.001,16,1e-06,0.015588356321677566,0.0037846244773803383,0.7117669753086419,0.1375207986358489,0.7274205381129402,0.12562033611494175,0.5073529411764706,0.02610035198426302
17,16,0.2,0.001,16,1e-05,0.016721202025655656,0.006549820396427139,0.7393132716049382,0.119166951196897,0.7633377262942214,0.11773329639542189,0.5073529411764706,0.02610035198426302
18,16,0.2,0.001,16,0.0001,0.015603750915033743,0.005943439770580807,0.7470679012345679,0.1603920766015245,0.7587316960907647,0.14423155997567802,0.5073529411764706,0.02610035198426302
19,16,0.2,0.0001,8,1e-06,0.019698039884679018,0.0036240213897021797,0.5465277777777777,0.14545297497752505,0.6151651591418749,0.11114607659641451,0.5073529411764706,0.02610035198426302
20,16,0.2,0.0001,8,1e-05,0.019807154417503626,0.003773078067376037,0.5033179012345679,0.2176036875509512,0.5935562292532268,0.17040761626890957,0.5073529411764706,0.02610035198426302
21,16,0.2,0.0001,8,0.0001,0.020940681360661982,0.0030386890078511614,0.5257716049382716,0.18576433358279143,0.6084613388948561,0.1358753239734258,0.5073529411764706,0.02610035198426302
22,16,0.2,0.0001,16,1e-06,0.019578199987881816,0.004081255713974827,0.5469135802469136,0.15090541151700995,0.6049502348368769,0.11780727158307644,0.5073529411764706,0.02610035198426302
23,16,0.2,0.0001,16,1e-05,0.02148449665401131,0.0025669167575857414,0.472608024691358,0.14587527566563785,0.5748696102372571,0.11266870783919442,0.5073529411764706,0.02610035198426302
24,16,0.2,0.0001,16,0.0001,0.020385473454371094,0.0034408656072650663,0.49336419753086413,0.16264590193030798,0.5848168945365637,0.11872299131360416,0.5073529411764706,0.02610035198426302
